Resort,Date,month,avg SnowFall,Base,BaseFT,SumitFT,Vertical_DropFT,Longest_RunMI,Longest_RunFT,Green,Blue,Black,Lat,Long,SkiFieldRating
Broken River Ski Area,1-Jun-16,Jun,0,0,4987,5971,984,0.2,1056,0.05,0.45,0.5,-43.1256,171.6807,90
Broken River Ski Area,1-Jul-16,Jul,4,8,4987,5971,984,0.2,1056,0.05,0.45,0.5,-43.1256,171.6807,90
Broken River Ski Area,1-Aug-16,Aug,2,20,4987,5971,984,0.2,1056,0.05,0.45,0.5,-43.1256,171.6807,90
Broken River Ski Area,1-Sep-16,Sep,10,16,4987,5971,984,0.2,1056,0.05,0.45,0.5,-43.1256,171.6807,90
Broken River Ski Area,1-Oct-16,Oct,0,16,4987,5971,984,0.2,1056,0.05,0.45,0.5,-43.1256,171.6807,90
Cardrona Alpine Resort,1-Jun-16,Jun,1,10,4154,6102,1969,2.5,13200,0.25,0.5,0.25,-44.8733,168.9466,50
Cardrona Alpine Resort,1-Jul-16,Jul,5,26,4154,6102,1969,2.5,13200,0.25,0.5,0.25,-44.8733,168.9466,50
Cardrona Alpine Resort,1-Aug-16,Aug,1.666666667,30,4154,6102,1969,2.5,13200,0.25,0.5,0.25,-44.8733,168.9466,50
Cardrona Alpine Resort,1-Sep-16,Sep,3.5,26,4154,6102,1969,2.5,13200,0.25,0.5,0.25,-44.8733,168.9466,50
Cardrona Alpine Resort,1-Oct-16,Oct,1,14,4154,6102,1969,2.5,13200,0.25,0.5,0.25,-44.8733,168.9466,50
Coronet Peak,1-Jun-16,Jun,1,8,3894,5410,1516,1.5,7920,0.25,0.45,0.3,-44.9264,168.7341,50
Coronet Peak,1-Jul-16,Jul,2.636363636,26,3894,5410,1516,1.5,7920,0.25,0.45,0.3,-44.9264,168.7341,50
Coronet Peak,1-Aug-16,Aug,1.4,30,3894,5410,1516,1.5,7920,0.25,0.45,0.3,-44.9264,168.7341,50
Coronet Peak,1-Sep-16,Sep,7,24,3894,5410,1516,1.5,7920,0.25,0.45,0.3,-44.9264,168.7341,50
Coronet Peak,1-Oct-16,Oct,0,24,3894,5410,1516,1.5,7920,0.25,0.45,0.3,-44.9264,168.7341,50
Craigieburn Valley Ski Area,1-Jun-16,Jun,0,23,4291,5942,1650,0,0,0,0.55,0.45,-43.1156105,171.7054079,100
Craigieburn Valley Ski Area,1-Jul-16,Jul,0,23,4291,5942,1650,0,0,0,0.55,0.45,-43.1156105,171.7054079,100
Craigieburn Valley Ski Area,1-Aug-16,Aug,2.666666667,26,4291,5942,1650,0,0,0,0.55,0.45,-43.1156105,171.7054079,100
Craigieburn Valley Ski Area,1-Sep-16,Sep,16,20,4291,5942,1650,0,0,0,0.55,0.45,-43.1156105,171.7054079,100
Craigieburn Valley Ski Area,1-Oct-16,Oct,0,23,4291,5942,1650,0,0,0,0.55,0.45,-43.1156105,171.7054079,100
Hanmer Springs Ski Area,1-Jun-16,Jun,0,15.5,4787,5804,1017,0,0,0.1,0.6,0.3,-42.4396,172.7325,80
Hanmer Springs Ski Area,1-Jul-16,Jul,0,16,4787,5804,1017,0,0,0.1,0.6,0.3,-42.4396,172.7325,80
Hanmer Springs Ski Area,1-Aug-16,Aug,0,15,4787,5804,1017,0,0,0.1,0.6,0.3,-42.4396,172.7325,80
Hanmer Springs Ski Area,1-Sep-16,Sep,0,15.5,4787,5804,1017,0,0,0.1,0.6,0.3,-42.4396,172.7325,80
Hanmer Springs Ski Area,1-Oct-16,Oct,0,15.5,4787,5804,1017,0,0,0.1,0.6,0.3,-42.4396,172.7325,80
Manganui Ski Area,1-Jun-16,Jun,0,24,4134,5512,1378,1.2,6336,0.05,0.3,0.65,-39.3013,174.0793,90
Manganui Ski Area,1-Jul-16,Jul,0,26,4134,5512,1378,1.2,6336,0.05,0.3,0.65,-39.3013,174.0793,90
Manganui Ski Area,1-Aug-16,Aug,0,22,4134,5512,1378,1.2,6336,0.05,0.3,0.65,-39.3013,174.0793,90
Manganui Ski Area,1-Sep-16,Sep,0,24,4134,5512,1378,1.2,6336,0.05,0.3,0.65,-39.3013,174.0793,90
Manganui Ski Area,1-Oct-16,Oct,0,24,4134,5512,1378,1.2,6336,0.05,0.3,0.65,-39.3013,174.0793,90
Mt. Cheeseman Ski Resort,1-Jun-16,Jun,0,9,5052,6148,1096,0,0,0.15,0.5,0.35,-43.1569,171.6662,70
Mt. Cheeseman Ski Resort,1-Jul-16,Jul,3,12,5052,6148,1096,0,0,0.15,0.5,0.35,-43.1569,171.6662,70
Mt. Cheeseman Ski Resort,1-Aug-16,Aug,3.166666667,16,5052,6148,1096,0,0,0.15,0.5,0.35,-43.1569,171.6662,70
Mt. Cheeseman Ski Resort,1-Sep-16,Sep,2,9,5052,6148,1096,0,0,0.15,0.5,0.35,-43.1569,171.6662,70
Mt. Cheeseman Ski Resort,1-Oct-16,Oct,0,9,5052,6148,1096,0,0,0.15,0.5,0.35,-43.1569,171.6662,70
Mt. Dobson Ski Area,1-Jun-16,Jun,0,7,5249,6660,1411,0,0,0.25,0.5,0.25,-43.9433,170.6616,50
Mt. Dobson Ski Area,1-Jul-16,Jul,3.142857143,8,5249,6660,1411,0,0,0.25,0.5,0.25,-43.9433,170.6616,50
Mt. Dobson Ski Area,1-Aug-16,Aug,3.333333333,16,5249,6660,1411,0,0,0.25,0.5,0.25,-43.9433,170.6616,50
Mt. Dobson Ski Area,1-Sep-16,Sep,0,12,5249,6660,1411,0,0,0.25,0.5,0.25,-43.9433,170.6616,50
Mt. Dobson Ski Area,1-Oct-16,Oct,0,10.75,5249,6660,1411,0,0,0.25,0.5,0.25,-43.9433,170.6616,50
Mt. Hutt Ski Area,1-Jun-16,Jun,2,8,4603,6844,2241,1.2,6336,0.25,0.45,0.3,-43.4951,171.5373,50
Mt. Hutt Ski Area,1-Jul-16,Jul,2.4,16,4603,6844,2241,1.2,6336,0.25,0.45,0.3,-43.4951,171.5373,50
Mt. Hutt Ski Area,1-Aug-16,Aug,5.142857143,51,4603,6844,2241,1.2,6336,0.25,0.45,0.3,-43.4951,171.5373,50
Mt. Hutt Ski Area,1-Sep-16,Sep,14,20,4603,6844,2241,1.2,6336,0.25,0.45,0.3,-43.4951,171.5373,50
Mt. Hutt Ski Area,1-Oct-16,Oct,6,13,4603,6844,2241,1.2,6336,0.25,0.45,0.3,-43.4951,171.5373,50
Mt. Lyford Alpine Resort,1-Jun-16,Jun,0,10,4098,5741,1644,0,0,0.3,0.4,0.3,-42.4468,173.1416,40
Mt. Lyford Alpine Resort,1-Jul-16,Jul,2.5,12,4098,5741,1644,0,0,0.3,0.4,0.3,-42.4468,173.1416,40
Mt. Lyford Alpine Resort,1-Aug-16,Aug,14.33333333,35,4098,5741,1644,0,0,0.3,0.4,0.3,-42.4468,173.1416,40
Mt. Lyford Alpine Resort,1-Sep-16,Sep,14,18,4098,5741,1644,0,0,0.3,0.4,0.3,-42.4468,173.1416,40
Mt. Lyford Alpine Resort,1-Oct-16,Oct,0,15,4098,5741,1644,0,0,0.3,0.4,0.3,-42.4468,173.1416,40
Mt. Olympus,1-Jun-16,Jun,0,16,4692,6168,1476,0,0,0.1,0.55,0.35,-43.1934,171.6043,80
Mt. Olympus,1-Jul-16,Jul,0,18,4692,6168,1476,0,0,0.1,0.55,0.35,-43.1934,171.6043,80
Mt. Olympus,1-Aug-16,Aug,2.5,20,4692,6168,1476,0,0,0.1,0.55,0.35,-43.1934,171.6043,80
Mt. Olympus,1-Sep-16,Sep,8.5,24,4692,6168,1476,0,0,0.1,0.55,0.35,-43.1934,171.6043,80
Mt. Olympus,1-Oct-16,Oct,0,20,4692,6168,1476,0,0,0.1,0.55,0.35,-43.1934,171.6043,80
Ohau Snow Fields,1-Jun-16,Jun,0,14,4675,5988,1312,0,0,0.2,0.5,0.3,-44.2263,169.7776,60
Ohau Snow Fields,1-Jul-16,Jul,4.833333333,16,4675,5988,1312,0,0,0.2,0.5,0.3,-44.2263,169.7776,60
Ohau Snow Fields,1-Aug-16,Aug,2.4,20,4675,5988,1312,0,0,0.2,0.5,0.3,-44.2263,169.7776,60
Ohau Snow Fields,1-Sep-16,Sep,1.666666667,16,4675,5988,1312,0,0,0.2,0.5,0.3,-44.2263,169.7776,60
Ohau Snow Fields,1-Oct-16,Oct,0,14,4675,5988,1312,0,0,0.2,0.5,0.3,-44.2263,169.7776,60
Porters,1-Jun-16,Jun,0,12,4272,6496,2224,0,0,0.15,0.5,0.35,-43.2656,171.7065,70
Porters,1-Jul-16,Jul,4,14,4272,6496,2224,0,0,0.15,0.5,0.35,-43.2656,171.7065,70
Porters,1-Aug-16,Aug,2.714285714,24,4272,6496,2224,0,0,0.15,0.5,0.35,-43.2656,171.7065,70
Porters,1-Sep-16,Sep,8,16,4272,6496,2224,0,0,0.15,0.5,0.35,-43.2656,171.7065,70
Porters,1-Oct-16,Oct,0,14,4272,6496,2224,0,0,0.15,0.5,0.35,-43.2656,171.7065,70
Rainbow Ski Area,1-Jun-16,Jun,0,14,4718,5768,1050,0,0,0.25,0.55,0.2,-41.8756,172.8595,50
Rainbow Ski Area,1-Jul-16,Jul,7.2,16,4718,5768,1050,0,0,0.25,0.55,0.2,-41.8756,172.8595,50
Rainbow Ski Area,1-Aug-16,Aug,2.428571429,28,4718,5768,1050,0,0,0.25,0.55,0.2,-41.8756,172.8595,50
Rainbow Ski Area,1-Sep-16,Sep,5,24,4718,5768,1050,0,0,0.25,0.55,0.2,-41.8756,172.8595,50
Rainbow Ski Area,1-Oct-16,Oct,0,22,4718,5768,1050,0,0,0.25,0.55,0.2,-41.8756,172.8595,50
Temple Basin,1-Jun-16,Jun,0,39,4898,6309,1411,0,0,0.25,0.5,0.25,-42.859864,171.05901,50
Temple Basin,1-Jul-16,Jul,0,39,4898,6309,1411,0,0,0.25,0.5,0.25,-42.859864,171.05901,50
Temple Basin,1-Aug-16,Aug,4,47,4898,6309,1411,0,0,0.25,0.5,0.25,-42.859864,171.05901,50
Temple Basin,1-Sep-16,Sep,5.666666667,31,4898,6309,1411,0,0,0.25,0.5,0.25,-42.859864,171.05901,50
Temple Basin,1-Oct-16,Oct,0,29,4898,6309,1411,0,0,0.25,0.5,0.25,-42.859864,171.05901,50
The Remarkables,1-Jun-16,Jun,1,12,5203,6375,1171,0.9,4752,0.3,0.4,0.3,-45.0541,168.8121,40
The Remarkables,1-Jul-16,Jul,3.111111111,33,5203,6375,1171,0.9,4752,0.3,0.4,0.3,-45.0541,168.8121,40
The Remarkables,1-Aug-16,Aug,2,39,5203,6375,1171,0.9,4752,0.3,0.4,0.3,-45.0541,168.8121,40
The Remarkables,1-Sep-16,Sep,14,20,5203,6375,1171,0.9,4752,0.3,0.4,0.3,-45.0541,168.8121,40
The Remarkables,1-Oct-16,Oct,0,18,5203,6375,1171,0.9,4752,0.3,0.4,0.3,-45.0541,168.8121,40
Treble Cone,1-Jun-16,Jun,0,46,4134,6430,2297,2.7,14256,0.1,0.45,0.45,-44.6333,168.8939,80
Treble Cone,1-Jul-16,Jul,6.142857143,50,4134,6430,2297,2.7,14256,0.1,0.45,0.45,-44.6333,168.8939,80
Treble Cone,1-Aug-16,Aug,3.8,48,4134,6430,2297,2.7,14256,0.1,0.45,0.45,-44.6333,168.8939,80
Treble Cone,1-Sep-16,Sep,6,44,4134,6430,2297,2.7,14256,0.1,0.45,0.45,-44.6333,168.8939,80
Treble Cone,1-Oct-16,Oct,0,42,4134,6430,2297,2.7,14256,0.1,0.45,0.45,-44.6333,168.8939,80
Tukino Mountain Clubs Association,1-Jun-16,Jun,0,47.5,5906,6627,722,0,0,0.35,0.3,0.35,-39.2784,175.6114,30
Tukino Mountain Clubs Association,1-Jul-16,Jul,0,47.5,5906,6627,722,0,0,0.35,0.3,0.35,-39.2784,175.6114,30
Tukino Mountain Clubs Association,1-Aug-16,Aug,6.5,51,5906,6627,722,0,0,0.35,0.3,0.35,-39.2784,175.6114,30
Tukino Mountain Clubs Association,1-Sep-16,Sep,2,44,5906,6627,722,0,0,0.35,0.3,0.35,-39.2784,175.6114,30
Tukino Mountain Clubs Association,1-Oct-16,Oct,0,42,5906,6627,722,0,0,0.35,0.3,0.35,-39.2784,175.6114,30
Turoa,1-Jun-16,Jun,0,54,5249,7618,2369,1.5,7920,0.2,0.32,0.48,-39.2706318,175.5067778,60
Turoa,1-Jul-16,Jul,4,54,5249,7618,2369,1.5,7920,0.2,0.32,0.48,-39.2706318,175.5067778,60
Turoa,1-Aug-16,Aug,7.5,75,5249,7618,2369,1.5,7920,0.2,0.32,0.48,-39.2706318,175.5067778,60
Turoa,1-Sep-16,Sep,6.5,80,5249,7618,2369,1.5,7920,0.2,0.32,0.48,-39.2706318,175.5067778,60
Turoa,1-Oct-16,Oct,0,80,5249,7618,2369,1.5,7920,0.2,0.32,0.48,-39.2706318,175.5067778,60
Whakapapa,1-Jun-16,Jun,0,68,5348,7546,2198,0,0,0.25,0.5,0.25,-39.2369,175.5545,50
Whakapapa,1-Jul-16,Jul,4.75,68,5348,7546,2198,0,0,0.25,0.5,0.25,-39.2369,175.5545,50
Whakapapa,1-Aug-16,Aug,2.75,95,5348,7546,2198,0,0,0.25,0.5,0.25,-39.2369,175.5545,50
Whakapapa,1-Sep-16,Sep,5,90,5348,7546,2198,0,0,0.25,0.5,0.25,-39.2369,175.5545,50
Whakapapa,1-Oct-16,Oct,0,88,5348,7546,2198,0,0,0.25,0.5,0.25,-39.2369,175.5545,50
